uuid,event_id,value
54e1a6aa-ea00-4864-9e3b-4b7a950d210b,47,%APPDATA%\java platform updater\jusched.exe
54e1a6aa-06c8-4e4f-8d50-4e61950d210b,47,%TEMP%\svchost.exe
54e1a6ed-0db0-41ab-b75b-20b7950d210b,47,%TEMP% \usbdrv3.sys
54e1a70f-2744-46bd-b771-426c950d210b,47,%windir% \iissvr.exe
54e1a7b3-bc64-4713-be9c-4c95950d210b,47,usbdrv3_32bit.sys
54e1a7b3-7460-4a04-afb5-45eb950d210b,47,usbdrv3_64bit.sys
54e59202-54ac-4382-adf8-3ec6950d210b,49,perf_585.dll
54e59202-9084-428f-945a-3ec6950d210b,49,dump21cb.dll
54f9a17e-ad50-4166-a1a0-4860950d210b,55,%WINDIR%\system32\mscaps.exe
54f9a17e-97e4-4943-81de-4463950d210b,55,%WINDIR%\system32\wtime32.dll
54f9a2c3-56b0-4339-9b32-46cd950d210b,55,mscaps.exe
54f9a2c3-8c04-4bba-89b1-40be950d210b,55,arc.dll
54f9a2c3-d0f0-43d8-b6a6-4ad1950d210b,55,@aedf66.tmp.exe
54f9a2c3-7094-4fea-964c-432b950d210b,55,dis.dll
54f9a2c3-7c88-4ac1-a201-413f950d210b,55,wdext.exe
54f9a2c3-0690-42fd-8aac-454b950d210b,55,sha.dll
54f9a2c3-43c4-4a83-b866-4122950d210b,55,wdexe.exe
5501448d-2ed8-43ef-8476-492b950d210b,57,%WINDIR%\system32\teamviewsvc.dll
55142881-d534-4df9-b4c9-c2b7950d210b,59,%PROFILE%\Application Data\Erease.vbe
551428d5-05ec-4c11-ad75-0988950d210b,59,Ñ‚ÐµÐ»ÐµÑ„Ð¾Ð½Ð½Ð°Ñ ÐºÐ½Ð¸Ð³Ð° Ð¸ Ð¿Ð¾Ñ‡Ñ‚Ð¾Ð²Ñ‹Ð¹ Ð°Ð´Ñ€ÐµÑ(2014.10).doc
55142935-0734-41c4-b46e-4d9d950d210b,59,Calling Off India-Pak Talks.doc
55142961-cb80-43f6-ada1-c906950d210b,59,Human Rights Violations of Tibet.doc
55142a0e-8c8c-45ba-8798-cac2950d210b,59,"U.S.,_India_to_formulate_smart_city_action_plans_in_three_months.doc"
55142a43-226c-40a7-bb80-4930950d210b,59,CHINA NEWS BRIEF 09 of 2015.doc
55142a74-5f38-42e6-b2a1-c2b7950d210b,59,Draft contract CMS Trg System.doc
55142af0-2450-4c8b-967b-0988950d210b,59,paris_declaration january_final.doc
55142b25-e2e0-4728-9930-410b950d210b,59,Obama against IS.doc
55142b9b-2814-449c-b369-d140950d210b,59,United Nations Security Council Committee Pursuant to Resolutions1267.doc
5523ea6b-7d44-483d-98db-755e950d210b,63,%SYSDIR%\otfkyt.dat
5523ea6b-7de8-4911-aa6d-755e950d210b,63,%SYSDIR%\wmtsk.dll
5523ea6b-d4d4-4e8f-a502-755e950d210b,63,%SYSDIR%\wmm2.dat
59b14d83-618c-4a64-925a-43ad950d210f,69,%temp%\ibmCon6.tmp
555dc6cc-a63c-45f0-9d2f-175b950d210b,79,coyote_load.dll
555dc6cc-6c04-4024-a65e-175b950d210b,79,xpsfiltsvcs.dll
555dc6cc-5090-437a-8943-175b950d210b,79,xpsfiltsvcs.tmp
555dc6cc-c53c-4bbd-bab4-175b950d210b,79,xpsfiltsvcs.txt
5566c7c7-36b0-4d4d-a057-4b43950d210b,83,ISIS_twitter_list.doc
5566c7e0-2dd0-4bc1-b327-4224950d210b,83,%APPDATA%\Microsoft\Systemcertificates\Certificates.ocx
5566c8ed-36a8-4f53-a490-4ce9950d210b,83,%TEMP%\dw20.EXE
5566c8ee-dad4-417b-a752-443c950d210b,83,%WINDIR%\msascm32.drv
556d554d-ee94-4fa3-96bc-4429950d210b,85,bi(done).doc
556d554d-ec40-497d-aab2-4429950d210b,85,thang_3.doc
556d554e-bff4-4586-a4f9-4429950d210b,85,thang_3(1).doc
556d554e-10f8-4e61-8d3f-4429950d210b,85,moi.doc
557fe012-3a7c-43b1-891d-a557950d210b,89,FSMA32.dll
557fe012-3e5c-435e-843f-a557950d210b,89,FSMA32.dllfox
557fe012-c6e4-462a-913f-a557950d210b,89,putty.gif.exe
557fe013-e694-4c28-b731-a557950d210b,89,H.H.
557fe013-c4b4-4c17-bea2-a557950d210b,89,LAMA.pps
557fe013-4b10-4e5c-bace-a557950d210b,89,SX.exe
557fe013-fd28-4c49-b39c-a557950d210b,89,SXLOC.dll
557fe013-9898-4d44-ab23-a557950d210b,89,SXLOC.zap
557fe014-be88-4162-8de2-a557950d210b,89,ã€Œä½”é ˜ä¸­ç’°ã€å¼•ç™¼çˆ­è­°çš„èƒŒå¾Œ.pps
55a8d02d-e680-47d6-ada7-1e08950d210b,94,App$PassHandleController.class
55dc2fc0-ea3c-4a08-9158-58ef950d210b,112,%AppData%\Local\Temp\bootloader.dec
55dc2fc0-1510-46aa-a516-58ef950d210b,112,%AppData%\Roaming\warriors.dat
55f5e14c-d0bc-4e2f-b552-30cd950d210b,119,(bsnews.it
55f5e14c-2ab0-45f6-83fb-30cd950d210b,119,(Verygames.net
560c1d45-63bc-4f07-9ccc-6221950d210b,133,%PROGRAMFILES%\DbSecuritySpt\DbSecuritySpt.exe
560c1d46-86e4-4032-bb59-6221950d210b,133,%PROGRAMFILES%\DbSecuritySpt\svch0st.exe
560c1d46-9364-41b3-8509-6221950d210b,133,%PROGRAMFILES%\Windows Media Player\agony.exe
560c1d47-284c-410b-b4fe-6221950d210b,133,%PROGRAMFILES%\Windows Media Player\agony.sys
560c1d47-0584-458b-9819-6221950d210b,133,%PROGRAMFILES%\Windows Media Player\DNSProtection.exe
560c1d48-fbb8-4978-ab44-6221950d210b,133,%PROGRAMFILES%\Windows Media Player\DNSSupport.exe
560c1d48-4e78-45cb-9ad5-6221950d210b,133,%PROGRAMFILES%\DbSecuritySpt\NPF.sys
560c1d49-b02c-4db0-947d-6221950d210b,133,%PROGRAMFILES%\DbSecuritySpt\packet.dll
56b061b9-747c-498d-8d40-48c9950d210f,168,Reappraisal_of_India_Tibet_Policy.doc
56bf2d9a-2e64-40b2-a50c-d9bb02de0b81,174,~/.config/ksysdef/ksysdefd
56bf2d9b-b7e8-4dad-9ae0-d9bb02de0b81,174,~/.config/dbus-notifier/dbus-inotifier
56e125b6-fed8-4d52-a48a-4676950d210f,191,%AppData%\{2ED2A2FE-872C-D4A0-17AC-E301404F1CBA}\
56e2e28e-ae88-4e78-a71b-4e89950d210f,196,perfumy_alice.republika.pl
56e2d71d-79dc-4caa-8432-453a950d210f,198,DECRYPTION_HOWTO.Notepad
56e7c5e3-1998-4c72-abb4-491b950d210f,203,%TEMP%\sysC4E6.tmp
57161c89-443c-40bb-a5f8-4cbb950d210f,248,brochure .doc
57161ec1-1d00-4ab1-b71d-4cd4950d210f,248,uhfx.dat
57174be5-742c-456a-a9be-4030950d210f,248,2016ç¸½çµ±é¸èˆ‰æ°‘æƒ…ä¸­å¿ƒé æ¸¬å€¼.doc
57174be5-41e0-41d6-a2e5-4294950d210f,248,ä¸­å›½å›½å®¶å®‰å…¨å§”å‘˜ä¼šæœºæž„è®¾ç½®å’Œäººå‘˜åå•æå‰æ›å…‰.docx
5718c9b2-98dc-4310-8a5d-4dff950d210f,253,%TEMP%\{C3F31E62-344D-4056-BF01-BF77B94E0254}\api-ms-win-system-softpub-l1-1-0.dll
5718c9b2-a384-45fa-ba7f-4e32950d210f,253,%TEMP%\{D075E5D0-4442-4108-850E-3AD2874B270C}\api-ms-win-system-provsvc-l1-1-0.dll
